sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Sveitarfélagið Hornafjörður,164.93,2021,27.94,6.03,55.349999999999994,5.75,2.630000114440918,35.67000102996826,73.90999897003175
Vestmannaeyjabær,292.8,2021,57.29,1.41,93.37,10.000000238418579,6,35.41000008583069,164.01999991416932
Sveitarfélagið Árborg,774.6999999999999,2021,149.91,24.09,270.92,39.3799991607666,39.39999961853027,191.0300006866455,312.7499993133544
Mýrdalshreppur,41.4,2021,6.45,2.75,12.84,1.059999942779541,4.03000020980835,10.34000015258789,18.219999847412108
Skaftárhreppur,35.2,2021,3.3,3.35,11.56,2,1,12.680000305175781,10.95999969482422
Rangárþing eystra,117.19999999999999,2021,30.4,1,49.12,9,6.53000020980835,33.489999294281006,34.59000070571898
Rangárþing ytra,134.114,2021,25.72,5.72,49.79,7.130000114440918,10.87999963760376,48.670000076293945,35.65399992370607
Hrunamannahreppur,68.64,2021,14.49,0,22.87,2.4000000953674316,4.539999961853027,15.650000095367432,30.119999904632564
Hveragerðisbær,257.5,2021,39.15,1.42,53.57,12.079999923706055,9.970000267028809,66.72000026702881,137.2099997329712
Sveitarfélagið Ölfus,130.82,2021,30.85,2.98,53.45,6,10,31.380000114440918,45.98999988555907
Grímsnes- og Grafningshreppur,38.58,2021,8.43,2.6,18.66,2,0,6.519999980926514,13.400000019073484
Skeiða- og Gnúpverjahreppur,33.089200000000005,2021,6.41,1.67,11.75,7.679999828338623,0.4000000059604645,12.459999948740005,8.87920005126
Reykjavíkurborg,9152.818800000001,2022,1386.84,155.77999999999997,2345.0299999999997,384.87999963760376,311.1700005531311,1662.500005722046,5145.288794277955
Kópavogsbær,2027.1400000000003,2022,454.6,58.06,781.3600000000001,162.4800009727478,82.58999979496002,538.5799981355667,707.2000018644335
Seltjarnarnesbær,252.35,2022,47.48,10.9,88.47,16.65999984741211,18.600000381469727,72.80000114440918,91.07999885559082
Garðabær,900.2,2022,211.94,15.67,339.63,59.260000705718994,58.320000506937504,251.71000096946955,308.8599990305305
Hafnarfjarðarkaupstaður,1729.74,2022,384.93000000000006,90.32,714.7600000000001,135.5300006866455,98.55999994277954,521.4999985694885,493.4800014305114
Mosfellsbær,730.5,2022,166.44,26.759999999999998,292.58,30.84000039100647,39.90000009536743,206.90000128746033,231.0199987125397
Reykjanesbær,1022.2900000000002,2022,210.98,100.72000000000001,484.53999999999996,42.92999982833862,32.72999948263168,163.70999854803085,374.0400014519694
Grindavíkurbær,194.92,2022,37.93,16.72,82.3,3.0999999046325684,2.4600000381469727,25.740000247955322,86.87999975204467
Sveitarfélagið Vogar,73.4,2022,14.59,8.54,40.44,3.75,3.240000009536743,16.87000012397766,16.089999876022347
Akraneskaupstaður,619.58,2022,98.02,10.09,182.3,41.950000286102295,20.149999618530273,113.54000043869019,323.73999956130984
Hvalfjarðarsveit,51.379999999999995,2022,12,1.65,22.82,2,3,12.760000228881836,15.79999977111816
Borgarbyggð,260.7,2022,59.900000000000006,4.3,100.43,23.419999599456787,11.940000057220459,68.45999908447266,91.81000091552733
Grundarfjarðarbær,59.879999999999995,2022,10.85,5.47,21.96,0.75,4.25,13.779999732971191,24.140000267028803
Stykkishólmsbær,120.91,2022,16.84,5.59,34.81,3.8299999237060547,7.460000038146973,23.06999969482422,63.030000305175776
Snæfellsbær,144.39,2022,24.18,7.12,53.09,5.519999980926514,4.039999961853027,27.09000062942505,64.20999937057493
